page,name,link,thumbnail,rating,date,snippet,images,local_guide
4,beny raga,https://www.google.com/maps/contrib/105387697094392567464?hl=id,https://lh3.googleusercontent.com/a/ACg8ocJQrW9juhemb2_W8qCTVxTiHv3UX4siNJG7YnaXqqLL-n_s1g=s120-c-rp-mo-br100,5.0,2 tahun lalu,"Area Kampus strategis dekat dengan Senayan. Security dan Pegawainya ramah"". Fasilitas Lab.nya sangat mendukung, apalagi di lab.elektro.univ.pertamina",,
4,Kosasih Lingga Buana,https://www.google.com/maps/contrib/109115096344614070229?hl=id,https://lh3.googleusercontent.com/a-/ALV-UjU7gQZY613cnzS9PLW3KPnXIGJ9tp9AF5wZMyA28jRslOT9TimE=s120-c-rp-mo-ba5-br100,5.0,2 tahun lalu,Walaupun bangunan sudah berumur tapi tetep banyak peminat nya karena lokasi nya yg strategis,,True
4,ajie mirza,https://www.google.com/maps/contrib/103224575029356304945?hl=id,https://lh3.googleusercontent.com/a-/ALV-UjVSO6vYkocZW-bI6CbLyIESsKfmV8oioTLUmBIshNoSGtprFEMy=s120-c-rp-mo-ba5-br100,4.0,5 bulan lalu,Tempat yg nyaman dan aman,,True
4,Jiwa sraya,https://www.google.com/maps/contrib/111490882420410406221?hl=id,https://lh3.googleusercontent.com/a-/ALV-UjUEfN-yAbyCrnL8uCSuOAD7n-U8Jaqu7KHO90TVOkak18rbO6Ta=s120-c-rp-mo-br100,5.0,2 tahun lalu,Tempat dan dosen sangat bagus. Semoga adik saya bisa menjadi mahasiswi baik disana.,,
4,Yos st mudo,https://www.google.com/maps/contrib/103304663851268855443?hl=id,https://lh3.googleusercontent.com/a-/ALV-UjWu_R4nJbcXARck1fYK3mUC3ul1m48e5prfoznsbMgVr7XdSebR=s120-c-rp-mo-ba5-br100,5.0,4 tahun lalu,"sptnya kampus nya luas nih.
Kampus pilihan utk yg ingin mengabdi di bidang minyak, mineral ,bebatuan dan lainnya.
Semoga selalu mengutamakan kualitasnya",,True
4,Besse Fitriani,https://www.google.com/maps/contrib/106270876392963641941?hl=id,https://lh3.googleusercontent.com/a-/ALV-UjWsDiD4ypffs3nqnysurw1oRUnMn8lMkprIISAe6xAP_jmvCik=s120-c-rp-mo-br100,2.0,3 tahun lalu,Bgmn tuk menghubungi kontaknya.. mau bertanya ttg uang kuliah dan kpn pendaftarannya.. tolong dibantu yg punya kontaknya🙏🏻🙏🏻,,True
4,Rifa Adinda Effendi,https://www.google.com/maps/contrib/108166281952972744949?hl=id,https://lh3.googleusercontent.com/a/ACg8ocLd5zVsehG0HqnBBGH_SMQ6_fs-0HnMeebrA9owrnJeuAnLQygp=s120-c-rp-mo-ba4-br100,5.0,5 tahun lalu,"Universitas Pertamina adalah sebuah universitas yang berdiri pada tahun 2016, yang berlokasi di kawasan Simprug, Jakarta Selatan. Universitas yang pengelolahanya berada di bawah naungan Yayasan Pertamina (Pertamina Foundation) ini di resmikan pada 11 Februari 2016. Rencananya Universitas ini akan menempati lahan seluas 6,5 hektare di kawasan Simprug, Jakarta Selatan dan akan ditunjang fasilitas dua gedung, masing-masing sembilan lantai dan empat lantai, sarana olahraga dan perpustakaan Pertamina. Universitas Pertamina akan mulai membuka tahun ajaran baru pada Juli 2016. Melalui Pertamina Foundation diperkirakan setiap program studi sarjana minimal 60 mahasiswa sehingga tiap tahun ajaran sedikitnya menerima 900 mahasiswa baru.",,True
4,Evie Christina,https://www.google.com/maps/contrib/115075961032284097507?hl=id,https://lh3.googleusercontent.com/a-/ALV-UjVviS3g3LNSXPQBhhLPb75cQOn09z9-Q0nvZj87yMp91bOA7BIC=s120-c-rp-mo-br100,5.0,6 tahun lalu,"Insya Allah universitas akan mencetak lulusan2x yg terbaik... program2x kuliah cukup ketat & profesional.
Anak saya kuliah disini angkatan pertama th.2016",,
5,Rian Putra Ramadhan,https://www.google.com/maps/contrib/102741503689058765614?hl=id,https://lh3.googleusercontent.com/a-/ALV-UjWLD2cMHZ-aLynUnmHdM0JzQVnTWPlPVtrwSS_adTfRBX7kxNg=s120-c-rp-mo-br100,1.0,7 bulan lalu,"Kantin nya panas, bau ada ac cuman tidak nyala kantin nya tidak bagus",,
5,Khaerunnisya Nisa,https://www.google.com/maps/contrib/117640321461052122405?hl=id,https://lh3.googleusercontent.com/a-/ALV-UjVzrx3pX2TNAXD9EOwCwqZmeYX07su6mAvcfPuo2mYCzQ7G1RN7=s120-c-rp-mo-ba4-br100,5.0,6 tahun lalu,"Ini adalah kampus tempat saya menuntut ilmu sejak 2017. Menurut saya, kampus ini memiliki sarana prasarana yang baik. Namun masih memiliki sedikit kekurangan di beberapa tempat.",,True
